date,20_day_sma,close,ewma_12,ewma_26,high,low,obv_10,open,rsi_14,volume
2015-01-30,45.51325,40.4,43.995330245618675,44.840939881714604,41.58,40.35,-20107335.4,41.55,85.88,78004944.0
2015-02-02,45.23925,41.28,43.564688239706705,44.5117763246288,41.37,40.23,-18515276.6,40.59,83.92,50352532.0
2015-02-03,45.003,41.6,43.25456865586372,44.24747312490292,41.93,41.045,-10445681.1,41.63,81.36,52082448.0
2015-02-04,44.8125,41.84,43.03217334690917,44.03253443890713,42.21,41.36,-10380667.8,41.94,78.07,41614812.0
2015-02-05,44.6235,42.45,42.94095291898384,43.89336231374526,42.64,41.855,-16463482.6,42.22,74.43,36548168.0
2015-02-06,44.3645,42.41,42.85799406978931,43.76469604481622,42.79,42.15,-15349035.7,42.68,70.87,34616554.0
2015-02-09,44.123000000000005,42.36,42.78037110452522,43.644377160571636,42.74,42.21,4534427.2,42.24,72.16,31381061.0
2015-02-10,43.923,42.6,42.7523132526712,43.55594539848188,42.77,42.18,9158884.1,42.74,58.97,29670676.0
2015-02-11,43.72425,42.38,42.694496472863186,43.45741760929166,42.65,42.21,6127239.9,42.65,58.89,38262509.0
2015-02-12,43.581,43.09,42.75582589404273,43.426929250133334,43.09,42.51,17954223.0,42.66,50.32,33268831.0
2015-02-13,43.5005,43.87,42.92838656425578,43.46337076635521,43.87,43.15,9549394.9,43.38,25.72,40264887.0
2015-02-17,43.3675,43.58,43.02920293167592,43.47288547471479,44.0,43.19,1629984.4,43.97,38.97,33695749.0
2015-02-18,43.2245,43.53,43.10661778455559,43.47751020775485,43.7,43.39,-5291838.8,43.63,31.62,27111657.0
2015-02-19,43.103500000000004,43.5,43.16738330548848,43.47931879587416,43.5263,43.05,-5974542.3,43.18,31.46,27603420.0
2015-02-20,42.939750000000004,43.855,43.273532895475356,43.509339936633516,43.88,43.29,738988.5,43.51,19.87,29721133.0
2015-02-23,42.788250000000005,44.15,43.4087646542365,43.56023875599509,44.19,43.65,1349919.9,43.7,20.96,32518754.0
2015-02-24,42.642250000000004,44.09,43.513826908412824,43.60210199739153,44.3,43.92,-4593129.7,44.15,24.13,25271747.0
2015-02-25,42.70875000000001,43.99,43.58723614355926,43.63260385491052,44.09,43.8,2128854.1,43.95,26.7,29759820.0
2015-02-26,42.85200000000001,44.055,43.659325981629735,43.66566767039432,44.23,43.89,-4578803.0,43.99,36.28,28957329.0
2015-02-27,42.94400000000001,43.85,43.68870395165471,43.68003622694547,44.2,43.66,-5412886.8,44.13,36.21,33807740.0
2015-03-02,43.11800000000001,43.88,43.718171037087735,43.69556307352197,44.19,43.55,-5218176.7,43.67,41.99,31924049.0
2015-03-03,43.21800000000001,43.28,43.650688557639434,43.663410229735376,43.825,43.09,-5081880.2,43.56,46.25,31748648.0
2015-03-04,43.29075000000001,43.055,43.55896187024792,43.61649118724165,43.21,42.88,-2184.1,43.01,48.59,25748692.0
2015-03-05,43.35425000000001,43.11,43.489838338917146,43.57755039220033,43.24,42.82,-6599175.9,43.07,37.99,23193541.0
2015-03-06,43.34975000000001,42.36,43.315905330417415,43.48420315350543,43.11,42.15,-6640255.6,43.0,40.97,36248785.0
2015-03-09,43.371750000000006,42.85,43.244188607403686,43.435705823615784,43.125,42.19,-8029053.9,42.19,34.64,32107957.0
2015-03-10,43.355250000000005,42.03,43.05730441090088,43.328468810523226,42.71,42.03,-8274603.3,42.35,39.92,39159730.0
2015-03-11,43.324250000000006,41.98,42.8915007480278,43.22582537214564,42.37,41.84,-17169586.4,42.31,38.1,32215314.0
2015-03-12,43.25625000000001,41.02,42.60348271687326,43.058263797771474,41.65,40.86,-7988041.9,41.33,46.79,59992502.0
2015-03-13,43.170750000000005,41.38,42.41520214724616,42.931017878424065,41.47,40.61,-7653101.6,40.7,38.5,58007705.0
2015-03-16,43.05525000000001,41.56,42.2836015602256,42.82724850807865,41.64,41.28,-1310892.0,41.47,49.87,35273452.0
2015-03-17,42.961000000000006,41.695,42.193029406012464,42.74168914570222,41.83,41.15,5683454.3,41.37,48.55,31673448.0
2015-03-18,42.90950000000001,42.5,42.24026362424639,42.723452896188725,42.83,41.33,-23806.4,41.43,39.2,44194771.0
2015-03-19,42.84875000000001,42.285,42.2471471267529,42.69041573409696,42.59,42.22,10791525.0,42.26,41.69,33879066.0
2015-03-20,42.800000000000004,42.88,42.34452087533926,42.70468259965302,42.98,42.49,4956120.7,42.56,37.08,71904529.0
2015-03-23,42.73525000000001,42.855,42.423064157262125,42.715981174043925,43.13,42.78,11423418.9,42.88,37.85,26246086.0
2015-03-24,42.67575000000001,42.9,42.49644525190542,42.72979783876676,43.17,42.75,10297959.6,42.78,36.32,25513252.0
2015-03-25,42.54925000000001,41.46,42.33698046069291,42.63455383445931,42.925,41.44,12547647.1,42.92,60.64,43469907.0
2015-03-26,42.40700000000001,41.21,42.16358810920481,42.527801628580875,41.61,40.92,3306736.8,41.22,63.27,37495627.0
2015-03-27,42.26300000000001,40.97,41.97994954269156,42.411164876790096,41.43,40.83,-3725574.6,41.12,58.3,34401398.0
2015-03-30,42.11700000000001,40.96,41.82302726786515,42.30259900145446,41.54,40.91,-10381641.3,41.1,68.83,35049662.0
2015-03-31,41.98575000000001,40.655,41.64332402037641,42.1794283201492,41.03,40.54,-11114586.2,40.78,69.3,34887219.0
2015-04-01,41.869000000000014,40.72,41.501269659668296,42.0703993756853,40.76,40.31,-11475427.2,40.6,70.91,36865322.0
2015-04-02,41.728000000000016,40.29,41.3149154734561,41.93747585038519,40.74,40.12,-14743510.9,40.66,78.56,37487476.0
2015-04-06,41.68725000000001,41.545,41.3503138978231,41.908190984936965,41.78,40.18,-14999839.8,40.34,86.71,39223692.0
2015-04-07,41.62125000000001,41.53,41.377958445425634,41.87998727114246,41.91,41.31,-20026508.8,41.61,87.1,28809375.0
2015-04-08,41.59075000000001,41.42,41.38442648219863,41.84570075909484,41.69,41.04,-13107132.0,41.46,89.57,24753438.0
2015-04-09,41.56575000000001,41.48,41.39913030287343,41.81845481011978,41.62,41.25,-6555369.1,41.25,88.63,25723861.0
2015-04-10,41.60075000000001,41.72,41.44849544706901,41.811122740106484,41.95,41.41,-87560.1,41.63,84.63,28022002.0
2015-04-13,41.61975000000001,41.76,41.49641969711437,41.807317068985114,42.06,41.39,992967.9,41.4,84.6,30276692.0
2015-04-14,41.62425,41.65,41.52004763320722,41.795610401416674,42.03,41.39,7216047.9,41.8,82.08,24244382.0
2015-04-15,41.65225,42.255,41.63311802655543,41.82978400576324,42.46,41.68,1278550.5,41.76,75.93,27343581.0
2015-04-16,41.63525,42.16,41.71417727604543,41.85434075737234,42.34,41.82,788537.3,41.95,67.87,22509652.0
2015-04-17,41.60175,41.615,41.69891915643288,41.8365471980765,41.74,41.16,1471941.4,41.67,72.29,42387608.0
2015-04-20,41.603,42.905,41.88447084925136,41.915958859363016,43.17,41.68,1751494.5,41.73,71.7,46057733.0
2015-04-21,41.592,42.635,41.99993729042369,41.96938750446915,43.15,42.53,6733265.6,43.0,71.0,26013844.0
2015-04-22,41.596250000000005,42.985,42.15148586378501,42.04483555134195,43.13,42.55,8791832.5,42.67,69.94,25064273.0
2015-04-23,41.690250000000006,43.34,42.33433466633788,42.141030415899635,43.61,42.8,19082998.8,42.89,69.72,46309530.0
2015-04-24,42.023250000000004,47.87,43.185977354593824,42.566449924770104,48.14,45.65,21980146.8,45.66,55.72,130933665.0
2015-04-27,42.37625,48.03,43.93121299063366,42.97208557594465,48.13,47.22,30477662.8,47.23,51.72,59248172.0
2015-04-28,42.785999999999994,49.155,44.73487379242012,43.43105171593221,49.21,47.7,22962848.5,47.78,41.65,60730778.0
2015-04-29,43.20625,49.06,45.40027870841594,43.848830486251266,49.31,48.5,18741268.0,48.72,39.71,47804562.0
2015-04-30,43.60225,48.64,45.89869792898474,44.20437780818242,49.54,48.6,26873762.4,48.7,42.17,64725457.0
2015-05-01,44.0205,48.655,46.322744804823174,44.53460897786787,48.875,48.4,18864040.6,48.58,41.07,38937336.0
2015-05-04,44.35525,48.24,46.61770737995917,44.80951052288768,48.87,48.18,16428505.9,48.37,40.46,34039485.0
2015-05-05,44.658750000000005,47.6,46.76882942442897,45.01651195385117,48.16,47.31,8678776.6,47.82,42.45,50369191.0
2015-05-06,44.90175000000001,46.28,46.69362485425395,45.11022879478357,47.77,46.02,7344989.0,47.57,60.41,52433020.0
2015-05-07,45.16275,46.7,46.694605646385455,45.22813539588677,47.085,46.16,-2211886.4,46.27,56.12,32971654.0
2015-05-08,45.46425000000001,47.75,46.85697407547507,45.41515427067401,47.98,47.52,-10597645.2,47.55,42.15,35364911.0
2015-05-11,45.74475,47.37,46.93590116834263,45.560111305375735,47.91,47.37,-19663549.4,47.55,48.76,24609416.0
2015-05-12,46.02975000000001,47.35,46.99960869972579,45.69282590401708,47.68,46.42,-11464631.9,46.85,46.39,29928264.0
2015-05-13,46.29825000000001,47.625,47.095822769972536,45.836080091519385,48.32,47.57,-1693997.0,48.19,43.26,34184613.0
2015-05-14,46.62625000000001,48.72,47.34569624282843,46.04988368775531,48.82,48.03,-8452000.0,48.0301,27.04,32980892.0
2015-05-15,46.96025000000001,48.295,47.491743000839435,46.2163182682192,48.905,48.05,-7461701.7,48.87,28.17,28642694.0
2015-05-18,47.215500000000006,48.01,47.57147485893863,46.34927949789385,48.22,47.61,-5282263.9,47.98,27.47,24136502.0
2015-05-19,47.462750000000014,47.58,47.572786419269974,46.440504913445885,47.81,47.18,-38961.9,47.56,29.51,28574813.0
2015-05-20,47.69250000000001,47.58,47.57389620104107,46.524964192525104,47.93,47.27,-5577197.1,47.39,41.45,25047919.0
2015-05-21,47.89650000000001,47.42,47.550219860247175,46.5913011296384,47.6,47.005,-11685746.5,47.28,41.37,22410698.0
2015-05-22,47.848000000000006,46.9,47.450186027828046,46.6141798438229,47.35,46.82,-12182990.9,47.3,41.74,25720583.0
2015-05-26,47.77600000000001,46.59,47.31784970716164,46.612387864486045,46.88,46.19,-6456600.6,46.83,40.41,29581860.0
