date,20_day_sma,close,ewma_12,ewma_26,high,low,obv_10,open,rsi_14,volume
2015-01-30,203.25525,203.6,202.12417595818974,202.26002798484566,207.47,203.0,231862.0,203.96,63.52,3006959.0
2015-02-02,202.83675,210.94,203.5223352263885,203.06238089133103,211.9499,203.3,1164804.6,203.97,46.56,4149186.0
2015-02-03,203.25025,218.36,205.86441186317901,204.45095241188716,220.37,211.27,1080038.0,213.22,35.22,4826244.0
2015-02-04,203.61375,218.55,207.8588115561623,205.70971236689317,221.479,216.8,1020642.2,218.29,34.71,3305377.0
2015-02-05,204.11575000000002,220.99,209.9163303954813,207.0534999336602,225.48,219.638,1040486.2,219.88,36.02,3522947.0
2015-02-06,204.45300000000003,217.36,211.07936810013703,207.94748173228402,223.4,216.5001,1064276.3,222.0,35.86,3243931.0
2015-02-09,204.994,217.48,212.07704268658637,208.76398717219416,217.93,211.99,803324.5,215.38,31.83,3472423.0
2015-02-10,205.698,216.29,212.73239450958613,209.40124601028356,220.5,215.0,141374.9,217.55,35.2,5390542.0
2015-02-11,206.12550000000002,212.8,212.7428930124598,209.68601409308786,214.74,207.28,-1778396.4,212.21,40.73,9769102.0
2015-02-12,206.63500000000005,202.88,211.21348688051242,209.1212501926676,203.0882,193.28,-858600.2,193.57,47.65,15649607.0
2015-02-13,207.23000000000008,203.77,210.06065710466717,208.68112258153073,205.99,200.91,-875554.1,202.9,40.78,6191003.0
2015-02-17,207.7940000000001,204.35,209.17711530934344,208.32778605564417,205.7,201.5,-1086818.7,205.7,37.99,3979647.0
2015-02-18,208.4205000000001,204.46,208.44792815792636,208.01459991124275,206.17,202.6,-901941.6,204.17,37.49,2713598.0
2015-02-19,209.1772500000001,211.705,208.95104614198632,208.3113751630232,212.44,203.75,-656027.4,205.0,32.95,5154148.0
2015-02-20,209.9517500000001,217.11,210.21056996341602,209.0144839473295,217.6,209.81,-1181611.8,210.78,23.94,5982089.0
2015-02-23,210.25400000000008,207.335,209.76689286294527,208.88105320153494,218.2,206.33,-2189210.1,215.66,28.09,8499775.0
